feature,mean_abs_shap
lag_1,3.2408649629114006
roll_mean_7,0.1321080830461651
month,0.09433419594920961
lag_7,0.0768554925194488
dayofweek,0.057371499743814745
lag_30,0.042419101390119826
roll_std_7,0.03765444415595007
