feature,importance
lag_1,0.9117434471254734
roll_mean_7,0.019691876921910493
lag_7,0.019219919563539002
lag_30,0.016745680247855096
roll_std_7,0.015197434173510112
month,0.009365157524986614
dayofweek,0.008036484442725467
